PartitionKey;RowKey;OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
Orders;10248;10248;VINET;5;4.7.1996 0:00;1.8.1996 0:00;16.7.1996 0:00;3;32.38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;null;51100;France
Orders;10249;10249;TOMSP;6;5.7.1996 0:00;16.8.1996 0:00;10.7.1996 0:00;1;11.61;Toms Spezialitäten;Luisenstr. 48;Münster;null;44087;Germany
Orders;10250;10250;HANAR;4;8.7.1996 0:00;5.8.1996 0:00;12.7.1996 0:00;2;65.83;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
Orders;10251;10251;VICTE;3;8.7.1996 0:00;5.8.1996 0:00;15.7.1996 0:00;1;41.34;Victuailles en stock;2, rue du Commerce;Lyon;null;69004;France
Orders;10252;10252;SUPRD;4;9.7.1996 0:00;6.8.1996 0:00;11.7.1996 0:00;2;51.3;Suprêmes délices;Boulevard Tirou, 255;Charleroi;null;B-6000;Belgium
Orders;10253;10253;HANAR;3;10.7.1996 0:00;24.7.1996 0:00;16.7.1996 0:00;2;58.17;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
Orders;10254;10254;CHOPS;5;11.7.1996 0:00;8.8.1996 0:00;23.7.1996 0:00;2;22.98;Chop-suey Chinese;Hauptstr. 31;Bern;null;3012;Switzerland
Orders;10255;10255;RICSU;9;12.7.1996 0:00;9.8.1996 0:00;15.7.1996 0:00;3;148.33;Richter Supermarkt;Starenweg 5;Genève;null;1204;Switzerland
Orders;10256;10256;WELLI;3;15.7.1996 0:00;12.8.1996 0:00;17.7.1996 0:00;2;13.97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil
Orders;10257;10257;HILAA;4;16.7.1996 0:00;13.8.1996 0:00;22.7.1996 0:00;3;81.91;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
Orders;10258;10258;ERNSH;1;17.7.1996 0:00;14.8.1996 0:00;23.7.1996 0:00;1;140.51;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10259;10259;CENTC;4;18.7.1996 0:00;15.8.1996 0:00;25.7.1996 0:00;3;3.25;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;null;05022;Mexico
Orders;10260;10260;OTTIK;4;19.7.1996 0:00;16.8.1996 0:00;29.7.1996 0:00;1;55.09;Ottilies Käseladen;Mehrheimerstr. 369;Köln;null;50739;Germany
Orders;10261;10261;QUEDE;4;19.7.1996 0:00;16.8.1996 0:00;30.7.1996 0:00;2;3.05;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
Orders;10262;10262;RATTC;8;22.7.1996 0:00;19.8.1996 0:00;25.7.1996 0:00;3;48.29;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
